Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.12,0.1,0.14,0.18,0.1,0.09,0.13,0.14,0.08,0.11,0.14,0.08
2,0.15,0.12,0.15,0.14,0.1,0.13,0.1,0.09,0.11,0.1,0.11,0.1
3,0.14,0.12,0.12,0.13,0.12,0.1,0.09,0.09,0.11,0.1,0.15,0.11
4,0.11,0.13,0.14,0.14,0.1,0.12,0.09,0.09,0.12,0.08,0.11,0.12
5,0.09,0.11,0.11,0.14,0.1,0.18,0.11,0.12,0.05,0.11,0.12,0.16
6,0.14,0.1,0.12,0.13,0.07,0.17,0.09,0.13,0.11,0.11,0.1,0.16
7,0.17,0.14,0.11,0.1,0.08,0.15,0.05,0.14,0.08,0.13,0.14,0.12
8,0.1,0.09,0.14,0.12,0.11,0.07,0.08,0.13,0.08,0.12,0.11,0.07
9,0.13,0.1,0.12,0.13,0.12,0.11,0.14,0.15,0.1,0.13,0.11,0.15
10,0.14,0.1,0.12,0.11,0.12,0.16,0.1,0.12,0.13,0.08,0.19,0.11
11,0.1,0.1,0.1,0.08,0.1,0.09,0.08,0.11,0.12,0.06,0.09,0.11
12,0.14,0.15,0.12,0.12,0.09,0.1,0.1,0.13,0.11,0.12,0.13,0.16
13,0.11,0.14,0.16,0.14,0.12,0.16,0.12,0.12,0.12,0.14,0.11,0.11
14,0.12,0.14,0.17,0.07,0.09,0.09,0.08,0.1,0.1,0.14,0.1,0.18
15,0.12,0.14,0.14,0.14,0.14,0.11,0.07,0.1,0.12,0.14,0.1,0.12
16,0.11,0.12,0.12,0.18,0.14,0.08,0.07,0.1,0.19,0.1,0.1,0.1
17,0.09,0.11,0.12,0.09,0.09,0.14,0.07,0.11,0.12,0.07,0.13,0.17
18,0.12,0.13,0.11,0.11,0.11,0.07,0.1,0.17,0.17,0.11,0.14,0.11
19,0.11,0.13,0.12,0.09,0.12,0.11,0.1,0.15,0.11,0.1,0.12,0.09
20,0.11,0.12,0.15,0.08,0.1,0.08,0.11,0.1,0.13,0.17,0.16,0.09
21,0.13,0.1,0.14,0.12,0.1,0.1,0.12,0.08,0.1,0.08,0.09,0.12
22,0.09,0.12,0.12,0.11,0.12,0.12,0.11,0.16,0.12,0.06,0.13,0.11
23,0.12,0.08,0.1,0.13,0.08,0.08,0.18,0.1,0.14,0.15,0.16,0.14
24,0.16,0.14,0.06,0.12,0.12,0.07,0.14,0.1,0.06,0.16,0.15,0.12
25,0.16,0.18,0.07,0.09,0.13,0.1,0.09,0.11,0.1,0.11,0.19,0.08
26,0.08,0.14,0.12,0.14,0.08,0.1,0.1,0.08,0.11,0.11,0.16,0.16
27,0.1,0.08,0.09,0.12,0.11,0.07,0.12,0.11,0.09,0.11,0.13,0.16
28,0.11,0.1,0.14,0.16,0.11,0.11,0.13,0.08,0.1,0.12,0.13,0.11
29,0.08,0.05,0.17,0.12,0.09,0.13,0.14,0.13,0.12,0.12,0.15,0.14
30,0.09,-,0.16,0.1,0.08,0.1,0.14,0.12,0.1,0.11,0.11,0.1
31,0.08,-,0.12,-,0.12,-,0.1,0.08,-,0.12,-,0.08